Population,Behavior,Hr38_Ratio
P1a,control,1.305594137
P1a,control,1.049669279
P1a,control,1.178240354
P1a,control,0.931055631
P1a,control,1.053662044
P1a,control,1.202145175
P1a,control,1.264499498
P1a,control,1.062297804
P1a,control,1.244782793
P1a,control,0.883220947
P1a,control,0.894074308
P1a,control,1.171362247
P1a,control,1.14285587
P1a,control,1.486942496
P1a,control,1.013415121
P1a,control,1.091668496
P1a,control,1.296022599
P1a,control,1.084179983
P1a,control,1.081629999
P1a,control,1.15007079
P1a,control,0.94204855
P1a,control,1.030258361
P1a,control,1.120597167
P1a,control,1.126034192
P1a,control,0.870994079
P1a,control,0.751901918
P1a,control,0.899954637
P1a,control,1.089840782
P1a,control,1.276965945
P1a,control,1.070387412
P1a,control,1.215111935
P1a,control,0.984982534
P1a,control,0.97520476
P1a,control,0.908616447
P1a,control,0.998519473
P1a,control,0.777837301
P1a,control,1.241996778
P1a,control,1.175646584
P1a,control,1.1594558
P1a,control,1.077865802
P1a,control,1.064355785
P1a,control,0.839943501
P1a,control,1.147274874
P1a,control,1.268168363
P1a,control,1.345235738
P1a,control,1.206048607
P1a,control,1.118512643
P1a,control,0.905919557
P1a,control,0.836462384
P1a,control,0.963609298
P1a,control,0.982097415
P1a,control,0.752173648
P1a,control,1.343332141
P1a,control,1.061485671
P1a,control,1.278369262
P1a,control,1.013093521
P1a,control,1.224914453
P1a,control,1.233960876
P1a,control,1.139860419
P1a,control,1.332005615
P1a,control,1.16200354
P1a,control,1.078682949
P1a,control,1.104444315
P1a,control,1.143821303
P1a,control,1.023103937
P1a,control,0.978484827
P1a,control,0.95354424
P1a,control,1.191373352
P1a,control,1.147926131
P1a,control,1.259839018
P1a,control,1.355023169
P1a,control,1.062560497
P1a,aggression,3.974379
P1a,aggression,1.471346
P1a,aggression,1.388204
P1a,aggression,3.18319
P1a,aggression,1.222862
P1a,aggression,1.739715
P1a,aggression,1.504492
P1a,aggression,1.064657
P1a,aggression,1.400318
P1a,aggression,2.646203
P1a,aggression,2.069196
P1a,aggression,2.054297
P1a,aggression,1.890772
P1a,aggression,8.760441
P1a,aggression,2.276333
P1a,aggression,1.902306
P1a,aggression,3.989549
P1a,aggression,1.33221
P1a,aggression,1.303788
P1a,aggression,2.536522
P1a,aggression,1.497382
P1a,aggression,1.047765
P1a,aggression,1.264362
P1a,aggression,1.529405
P1a,aggression,3.286379
P1a,aggression,1.151712
P1a,aggression,1.360124
P1a,aggression,1.202752
P1a,aggression,1.287154
P1a,aggression,2.373302
P1a,aggression,1.427854
P1a,aggression,2.57076
P1a,aggression,1.579368
P1a,aggression,1.434572
P1a,aggression,1.740249
P1a,aggression,2.639566
P1a,aggression,1.623654
P1a,aggression,1.485902
P1a,aggression,1.200311
P1a,aggression,1.736003
P1a,aggression,1.497278
P1a,aggression,1.501319
P1a,aggression,1.933856
P1a,aggression,1.846216
P1a,aggression,1.148973
P1a,aggression,1.174859
P1a,aggression,2.441721
P1a,aggression,1.516623
P1a,aggression,2.31394
P1a,aggression,2.048843
P1a,aggression,2.620694
P1a,aggression,3.391061
P1a,aggression,1.275641
P1a,aggression,1.271781
P1a,aggression,1.284657
P1a,aggression,1.190919
P1a,aggression,1.164954
P1a,aggression,1.244031
P1a,aggression,1.714734
P1a,aggression,1.092952
P1a,aggression,1.123114
P1a,aggression,2.672845
P1a,aggression,3.510654
P1a,aggression,1.213589
P1a,aggression,1.10308
P1a,aggression,3.878493
P1a,aggression,1.039053
P1a,aggression,1.469808
P1a,aggression,2.801789
P1a,aggression,1.246394
P1a,aggression,1.636722
P1a,courtship,2.363415
P1a,courtship,7.091178
P1a,courtship,9.40327
P1a,courtship,1.841199
P1a,courtship,17.64326
P1a,courtship,3.848194
P1a,courtship,1.348673
P1a,courtship,1.542556
P1a,courtship,1.472249
P1a,courtship,2.626306
P1a,courtship,1.306306
P1a,courtship,6.357552
P1a,courtship,5.702438
P1a,courtship,1.533545
P1a,courtship,1.402864
P1a,courtship,2.605991
P1a,courtship,1.358324
P1a,courtship,1.747849
P1a,courtship,3.935283
P1a,courtship,2.212361
P1a,courtship,11.06215
P1a,courtship,1.845524
P1a,courtship,8.4627
P1a,courtship,1.127381
P1a,courtship,10.02885
P1a,courtship,0.908725
P1a,courtship,3.618346
P1a,courtship,1.278079
P1a,courtship,2.153103
P1a,courtship,1.378911
P1a,courtship,2.504506
P1a,courtship,1.638427
P1a,courtship,1.01668
P1a,courtship,7.834206
P1a,courtship,2.117554
P1a,courtship,1.219958
P1a,courtship,1.348533
P1a,courtship,1.170815
P1a,courtship,4.524143
P1a,courtship,2.33163
P1a,courtship,1.428984
P1a,courtship,5.695479
P1a,courtship,1.656201
P1a,courtship,3.014672
P1a,courtship,1.062258
P1a,courtship,3.602159
P1a,courtship,3.808841
P1a,courtship,0.8923047
P1a,courtship,0.8646343
P1a,courtship,3.277246
P1a,courtship,1.393282
P1a,courtship,2.283864
P1a,courtship,3.041055
P1a,courtship,5.593523
P1a,courtship,1.522402
P1a,courtship,4.141374
P1a,courtship,1.156443
P1a,courtship,1.748516
P1a,courtship,1.405189
P1a,courtship,2.076442
P1a,courtship,3.419783
P1a,courtship,1.163682
P1a,courtship,10.76654
P1a,courtship,5.634184
P1a,courtship,5.192482
P1a,courtship,1.086825
P1a,courtship,2.03064
P1a,courtship,2.828294
P1a,courtship,1.809841
P1a,courtship,1.284119
P1a,courtship,2.157257
P1a,courtship,2.946498
P1a,courtship,2.907568
P1a,courtship,2.129406
P1a,courtship,2.24188
P1a,courtship,1.90487
P1a,courtship,1.063768
P1a,courtship,5.388613
P1a,courtship,1.286801
P1a,courtship,6.601974
Tk,aggression,1.0725766823105465
Tk,aggression,11.871831476618995
Tk,aggression,10.944758240975382
Tk,aggression,5.713052158722236
Tk,aggression,10.204310942751961
Tk,aggression,7.006392762909913
Tk,aggression,3.9886304068832135
Tk,aggression,11.568045839885762
Tk,aggression,1.0445022865715885
Tk,aggression,6.659423788829873
Tk,aggression,1.3859131105703602
Tk,aggression,0.9918297161287816
Tk,aggression,1.1100025258903765
Tk,aggression,8.525468888275652
Tk,aggression,17.354259950570302
Tk,aggression,6.666715169966757
Tk,aggression,7.546986396212644
Tk,aggression,0.8242335766423358
Tk,aggression,10.839237249580346
Tk,aggression,8.544446656460881
Tk,aggression,4.120760239451457
Tk,aggression,2.3036382527601558
Tk,aggression,1.1490695297387248
Tk,aggression,1.6963036408894556
Tk,aggression,1.046025945930954
Tk,aggression,1.7280507611650158
Tk,aggression,1.569423272875484
Tk,aggression,1.050321830107379
Tk,aggression,1.1031642762087832
Tk,aggression,1.570763472127699
Tk,aggression,1.265552496442492
Tk,aggression,1.0374757953482894
Tk,aggression,3.3253703317337786
Tk,aggression,0.922726736643472
Tk,aggression,1.098773971710124
Tk,aggression,2.510493527588222
Tk,aggression,8.535518427413772
Tk,aggression,19.657122709618204
Tk,aggression,13.63133053540541
Tk,aggression,23.45899499127553
Tk,aggression,11.44548284256461
Tk,aggression,1.2830795059359636
Tk,aggression,3.097847546588337
Tk,aggression,15.629741095648544
Tk,aggression,8.152739825698902
Tk,aggression,6.678050445990355
Tk,aggression,10.856212703974439
Tk,aggression,1.2389227867388926
Tk,aggression,16.344945724158855
Tk,aggression,13.392924212859903
Tk,aggression,18.337309196180165
Tk,aggression,7.104416337126815
Tk,aggression,12.060757186218282
Tk,aggression,5.436244185097527
Tk,aggression,15.071568575515178
Tk,aggression,20.240619095548375
Tk,aggression,12.350109448940481
Tk,deadM,23.330669822635606
Tk,deadM,18.891147700769313
Tk,deadM,35.931946320133726
Tk,deadM,23.38783775718147
Tk,deadM,30.82509541414435
Tk,deadM,20.39708429654147
Tk,deadM,4.949107547398581
Tk,deadM,28.498503956584734
Tk,deadM,26.694421117967067
Tk,deadM,1.3658403008507065
Tk,deadM,6.7150547235757845
Tk,deadM,8.690775340147127
Tk,deadM,1.3877026235271142
Tk,deadM,8.570135206560842
Tk,deadM,13.1527118091874
Tk,deadM,4.4280247204092
Tk,deadM,1.1075449264951762
Tk,deadM,14.385944368073588
Tk,deadM,22.502749350847715
Tk,deadM,3.1094710480382486
Tk,deadM,1.1843474342518503
Tk,deadM,1.7018533252211354
Tk,deadM,15.892784433940188
Tk,deadM,17.14166409438557
Tk,deadM,2.1694161493523567
Tk,deadM,18.534961189350458
Tk,deadM,21.37659051474841
Tk,deadM,22.220436070325793
Tk,deadM,21.496724276648905
Tk,deadM,5.133315588571567
Tk,deadM,20.21944838527604
Tk,deadM,27.48068533300917
Tk,courtship,1.084498771565107
Tk,courtship,1.3206553005743926
Tk,courtship,1.2565954687828174
Tk,courtship,1.3770482239002517
Tk,courtship,1.221248791112339
Tk,courtship,1.4560371240257788
Tk,courtship,1.6660304252094593
Tk,courtship,1.2976910288775323
Tk,courtship,0.899969213718367
Tk,courtship,1.1135197063944646
Tk,courtship,1.4671877739000174
Tk,courtship,1.3242044344562687
Tk,courtship,1.2444710473870682
Tk,courtship,0.8512448241522093
Tk,courtship,1.0315110632251214
Tk,courtship,1.1396807206863073
Tk,courtship,1.0355249964188513
