Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
1056.357,2129.529,2370.667,1695.0,2512.105,2876.714,973.429,1492.243,2369.0,779.909,969.273,2281.3,2254.067,3051.615,2673.941,3785.0,1563.0,2125.267,1403.786,2710.21,3612.105,497.579,1397.684,1252.263,3000.56,1256.0,1802.645,3174.896,1957.077,2233.875,1457.35,1410.412,1844.0,2612.389,2816.147,2489.846,5979.654,1504.28,3105.042,1869.722,2964.853,1520.455,3005.259,1848.35,2394.737,1490.65,1847.812,3496.0,1294.154,1816.723,1921.719,1857.091,1701.106,1026.103,636.237,617.875,725.906,406.889,666.729,581.588,1022.138,363.826,1042.103,1246.391,721.8,1213.974,440.75,442.789,605.333,483.455,765.222,1785.381,660.63,1094.5,1485.486,1950.581,2139.0,451.583,665.737,664.953,1268.0,1478.625,1581.636,1417.895,2429.633,1978.143,1094.731,1871.0,625.259,607.8,1633.743,1656.613,2689.273,1956.417,828.696,1001.314,713.167,1080.511,397.8,350.614,1212.517,523.621,1063.818,403.259,427.619,564.739,594.518,674.0,1016.833,1085.231,636.957,839.846,935.92,727.8,1065.468,1479.556,526.357,1003.939,2219.174,2245.903,3579.964,1987.758,1868.0,813.071,838.745,317.444,603.577,735.067,447.76,2843.0,1398.464,510.722,1836.652,2416.522,1338.632,1041.444,1431.6,930.15,3636.536,1651.121,2764.73,1301.846,934.933,1324.069,2033.2,1041.375,690.875,640.739,584.533,654.758,1388.636,1601.125,2238.6,1112.88,742.724,1353.304,1995.032,1769.615,863.864,734.808,1499.333,1412.545,795.333,1742.893,1452.621,741.24,1475.1,906.037,1064.194,1167.636,1726.125,675.103,943.238,812.091,1164.72
1070.643,2313.0,2442.048,1822.333,2373.421,2770.238,1089.952,1491.892,2084.125,804.818,915.0,2241.45,2126.533,2778.577,2448.412,3899.615,1389.125,1894.067,1262.071,2645.632,3114.158,536.105,1416.947,1295.474,3021.68,1318.92,1741.129,3233.138,2144.615,2364.625,1341.5,1538.235,1910.875,2383.778,2775.088,2235.154,5721.731,1463.4,3171.417,2046.722,2956.0,1480.273,3187.333,1927.225,2385.105,1471.95,1779.938,3761.35,1341.462,1531.843,1908.125,2003.818,1594.851,1050.931,652.421,605.958,760.812,425.852,682.458,610.088,1039.448,342.957,1074.379,1238.043,826.133,1147.921,342.958,378.842,501.267,432.955,838.111,1804.016,760.074,1164.469,1575.143,2067.677,2012.625,450.875,724.158,733.186,1255.6,1783.75,1789.545,1298.789,2308.967,1792.357,1110.154,1966.083,607.259,639.743,1553.629,1521.323,2557.0,1820.375,992.261,1023.486,641.278,1104.222,343.533,328.955,1114.966,455.552,1021.606,367.111,366.333,555.783,560.222,690.926,1030.762,1069.359,727.348,801.115,878.08,728.32,1103.83,1517.704,535.464,971.102,2173.761,2232.387,3502.893,2094.909,1808.0,773.286,859.957,312.926,583.462,755.267,393.68,2939.19,1377.0,580.389,1787.087,2376.652,1290.316,939.5,1346.35,940.725,3530.464,1838.151,2961.0,1297.846,1094.8,1619.103,1932.6,921.344,709.5,737.87,671.567,752.333,1447.273,1520.625,2132.7,1321.64,732.0,1323.304,1928.516,1814.577,864.136,727.346,1450.273,1476.0,719.482,1553.536,1483.931,891.04,1565.575,892.63,1109.472,1339.182,1742.333,642.207,796.095,921.818,1402.88
1150.429,2156.0,2376.905,2052.083,2485.105,2766.381,1050.619,1384.297,2028.333,763.818,724.636,2150.4,1971.0,2874.192,2326.0,3669.808,1380.125,1753.4,1168.071,2514.474,3216.79,452.053,1404.421,1313.316,2985.76,1250.44,1758.129,3233.931,2148.539,2214.625,1457.45,1424.353,1853.375,2328.778,2809.677,2292.5,5878.539,1684.64,3089.917,1843.278,2989.353,1394.682,3177.185,2002.675,2337.316,1332.45,1750.5,3632.425,1415.923,1447.337,1971.688,1919.849,1631.192,1076.845,642.816,531.083,843.219,398.778,694.292,574.529,1108.724,346.478,1100.655,1199.739,763.133,1270.447,335.917,466.632,527.933,459.545,812.0,1806.429,780.704,1170.0,1536.571,2046.806,1969.5,523.208,715.053,768.628,1328.4,1852.917,1694.909,1415.053,2387.767,1750.857,1203.808,2027.375,587.815,598.971,1507.171,1535.774,2711.227,1854.021,957.043,1031.571,737.333,1028.156,354.733,361.545,1076.483,463.31,989.333,395.667,402.381,550.739,570.296,695.482,1122.595,1111.333,711.217,785.115,908.64,695.2,1073.426,1275.667,493.464,1055.02,2206.413,2417.871,3398.464,2207.758,1949.667,764.024,810.851,338.778,599.212,803.467,476.36,2859.31,1258.464,510.333,1666.217,2187.043,1295.158,980.167,1277.75,907.275,3486.75,1630.909,2802.865,1188.462,799.0,1421.034,1827.343,860.188,602.417,569.522,510.5,628.758,1369.955,1496.156,1885.95,1189.28,755.241,1390.087,1888.742,1773.462,859.0,753.0,1454.303,1493.409,846.111,1645.536,1456.897,789.48,1549.025,951.407,1084.556,1212.682,1691.583,606.379,883.571,874.636,1296.16
1074.5,2442.177,2439.286,1696.5,2406.0,2725.333,1043.19,1397.649,2053.333,734.818,772.636,2040.0,2117.2,2888.923,2369.765,3690.0,1516.5,1924.6,1265.714,2441.053,3212.421,432.895,1392.684,1219.684,2911.76,1275.68,1744.677,3218.448,2075.077,2082.25,1476.55,1323.471,1731.375,2302.278,2744.5,2216.692,5787.885,1557.0,2919.792,1921.722,2894.294,1583.773,3236.148,2013.85,2187.421,1354.1,1779.344,3608.6,1344.154,1515.928,1945.375,1965.727,1582.064,1030.0,651.579,557.458,722.281,396.37,630.125,618.294,1045.138,385.391,1049.69,1184.109,750.067,1152.842,394.167,387.632,567.4,420.955,749.833,1805.048,728.518,1210.188,1530.257,2187.161,2129.833,501.792,705.263,805.767,1353.35,1878.917,1539.818,1301.526,2407.633,1626.429,1169.308,2206.083,640.074,621.657,1600.771,1561.129,2666.318,1838.812,924.826,1027.457,591.778,1123.222,315.733,312.773,1045.138,533.345,966.061,407.148,372.762,607.261,553.185,662.667,1026.024,1045.0,688.652,777.615,894.92,731.8,1066.17,1435.407,513.321,991.551,2194.63,2276.839,3638.428,2045.818,1828.818,790.905,804.213,290.926,593.942,737.233,424.8,2834.143,1282.143,581.0,1718.304,2287.435,1244.0,929.167,1344.45,900.225,3549.607,1666.818,3019.027,1122.385,824.267,1314.931,1825.857,772.531,625.833,572.609,474.433,600.606,1404.636,1483.188,2034.15,1012.76,775.517,1369.87,1977.452,1788.5,871.182,747.154,1448.394,1430.636,732.667,1668.143,1422.241,893.44,1620.2,870.556,1050.778,1183.045,1728.0,671.862,883.571,922.182,1336.48
1044.429,2061.941,2232.667,1456.917,2273.158,2784.19,1024.81,1378.297,2128.583,806.364,1012.818,2130.2,2052.467,2919.346,2448.0,3765.769,1321.0,1886.133,1212.429,2401.316,3384.21,462.368,1372.211,1077.632,2844.72,1204.76,1635.355,3225.138,2100.923,2074.875,1451.55,1335.882,1675.625,2331.556,2696.471,2304.0,5809.769,1700.36,3022.083,1930.833,2949.647,1504.227,3104.333,1969.675,2188.316,1342.1,1697.719,3465.0,1463.923,1571.687,1916.312,1868.273,1630.66,1110.138,625.184,558.917,727.656,360.815,700.083,529.971,1208.828,333.913,1067.345,1155.891,736.0,1167.605,358.208,419.368,605.267,457.364,820.806,1755.079,707.259,1184.062,1560.8,2283.774,1986.208,481.5,790.105,724.0,1204.15,1801.625,1750.0,1257.105,2239.367,1670.929,1212.115,2112.625,540.926,647.743,1500.143,1640.484,2461.682,1806.438,828.478,940.343,780.778,1057.578,347.533,335.091,1035.0,462.483,994.303,424.0,416.238,624.826,558.0,705.63,1097.214,1107.692,681.304,690.269,933.32,745.36,1125.894,1292.037,528.643,1139.714,2178.826,2418.774,3425.75,2260.788,1939.061,845.714,837.638,330.0,619.673,775.533,432.52,2567.857,1351.857,504.167,2042.0,2354.0,1088.053,733.444,1389.3,837.85,3591.428,1953.0,3463.27,1119.923,752.4,1144.69,1801.771,674.25,505.292,506.913,507.4,634.273,1308.955,1472.906,2092.4,1032.64,782.69,1414.913,2094.032,1725.538,870.136,557.462,1316.879,1066.636,593.222,1487.679,1352.414,961.2,1712.9,821.407,986.444,1592.545,1602.5,637.793,922.381,1053.727,1489.76
1091.071,2202.647,2188.524,1379.667,2422.737,2591.762,911.476,1471.297,2228.375,759.273,923.182,2149.9,2068.467,2846.077,2609.882,3709.115,1328.75,2242.333,1459.929,2334.895,3588.947,460.474,1275.526,1119.368,2781.72,1147.28,1712.194,3050.828,1846.846,2005.125,1287.05,1242.765,1663.375,2346.0,2671.235,2222.077,5894.423,1652.72,3073.875,1843.944,3035.706,1537.273,3167.037,2025.875,2274.842,1305.55,1571.406,3664.775,1679.077,1330.217,1868.406,1890.061,1522.638,1072.5,581.316,589.917,816.625,476.185,685.542,638.059,1159.172,337.652,1122.103,1177.696,813.533,1321.868,318.208,448.947,631.867,448.455,863.417,1796.349,815.185,1210.688,1586.771,2197.613,2012.25,525.292,752.368,734.977,1198.65,1698.292,1658.455,1318.263,2199.9,1703.571,1268.923,2291.875,598.0,632.257,1512.914,1681.0,2351.091,1852.458,789.391,998.371,766.556,1093.644,357.4,358.114,954.345,456.414,969.424,400.889,358.571,582.435,558.074,675.111,1202.238,1175.487,695.435,726.231,815.12,681.76,1117.766,1291.444,505.321,1033.082,2265.152,2437.71,3288.036,2232.818,1878.97,768.976,807.489,318.63,590.904,784.4,483.88,2628.024,1303.464,492.611,2006.565,2338.304,1101.105,754.778,1537.8,855.975,3483.393,1735.879,3216.757,1131.231,756.733,1218.931,1864.2,765.312,561.292,616.957,479.533,587.727,1333.045,1410.281,2011.75,1116.68,776.793,1383.261,2084.258,1760.615,785.818,631.154,1437.545,1161.864,611.185,1602.429,1362.276,1041.92,1577.075,765.889,946.333,1421.455,1752.542,591.31,888.571,915.864,1429.28
981.786,1894.0,2162.143,1576.667,2149.316,2739.762,866.905,1392.324,2137.042,798.545,966.727,2128.95,2310.333,2973.769,2735.882,3752.923,1653.75,2055.2,1588.429,2412.474,3736.263,493.684,1254.842,1075.895,2751.76,1139.52,1693.516,2924.414,1748.077,1816.625,1346.2,1230.235,1745.375,2299.833,2579.441,2243.385,5839.269,1651.64,3077.083,1786.611,2946.823,1494.955,3158.556,2038.3,2287.368,1318.75,1596.062,3662.925,1515.308,1316.675,1930.531,1867.697,1562.489,1075.828,635.5,585.917,757.75,413.667,707.292,663.382,1107.517,381.739,1103.207,1233.826,749.867,1324.553,353.125,393.211,553.867,500.409,829.417,1718.968,866.037,1201.938,1563.8,2120.968,1952.125,519.292,819.789,792.605,1255.4,1708.083,1856.0,1353.158,2227.533,1620.714,1190.308,2311.75,673.185,700.743,1446.371,1584.839,2330.318,1946.708,885.652,924.2,717.944,1060.556,370.8,401.068,951.034,412.241,903.182,403.481,414.476,623.739,591.852,692.926,1163.5,1160.462,783.739,681.269,911.0,612.8,1107.957,1270.556,566.893,1209.98,2183.87,2459.484,3247.322,2167.212,1910.818,729.405,769.362,313.667,631.577,781.367,521.2,2708.286,1305.536,485.056,1799.696,2351.652,1089.842,845.667,1406.85,809.125,3503.178,1708.182,3322.243,1090.538,834.267,1280.241,1795.657,811.531,615.5,578.652,484.6,584.636,1304.773,1376.656,1948.4,1133.0,836.517,1351.0,1995.839,1942.154,719.455,595.923,1305.03,1279.727,606.222,1617.679,1363.793,889.4,1572.325,777.482,990.694,1382.091,1776.042,636.034,946.143,899.227,1447.24
944.643,2022.294,2189.952,1575.0,2276.105,2596.238,910.667,1434.919,2106.125,779.909,847.818,2260.3,2061.333,2917.423,2575.294,3731.731,1382.375,2120.2,1498.857,2414.053,3693.526,406.632,1278.0,1043.316,2683.96,1221.96,1613.548,3013.793,1941.0,1856.375,1388.75,1222.765,1658.375,2485.444,2537.5,2300.846,5992.423,1622.68,3002.333,1919.667,2919.323,1510.591,3149.407,1952.05,2313.105,1383.7,1617.906,3522.85,1383.923,1469.566,1981.656,1924.091,1680.298,1072.879,613.474,551.75,697.25,419.111,659.688,559.676,1033.448,379.261,1034.655,1191.13,780.8,1236.684,309.75,392.474,498.333,464.818,827.028,1746.476,785.037,1222.5,1494.086,2094.871,1970.333,541.125,687.421,751.279,1378.5,1720.958,1738.455,1165.895,2244.933,1706.071,1292.923,2152.208,590.444,651.4,1578.914,1539.194,2471.455,1849.625,925.043,928.829,716.278,1087.044,303.467,416.955,961.379,402.069,868.909,393.704,437.571,689.957,553.852,745.741,1229.929,1165.256,739.87,681.615,836.64,635.4,1155.936,1175.778,510.571,1230.469,2110.848,2527.968,3143.678,2310.939,1885.273,753.619,860.383,341.407,606.096,799.8,492.76,2469.786,1408.607,552.889,1969.348,2469.348,1127.368,788.444,1450.7,830.1,3515.214,1692.303,3234.865,1198.692,914.4,1263.483,1780.143,729.312,615.708,619.435,486.0,563.303,1297.0,1452.094,1978.0,1020.16,768.069,1436.739,1980.258,1817.308,810.182,622.154,1398.636,1203.227,671.296,1557.107,1409.069,1012.52,1607.35,807.222,967.306,1443.364,1826.083,654.724,909.286,945.091,1336.6
982.429,2054.471,2201.143,1553.417,2358.684,2632.381,990.762,1363.784,2139.458,821.364,976.091,2182.1,2114.2,2860.423,2418.059,3704.115,1341.25,1933.333,1309.857,2259.368,3440.053,507.105,1375.105,1106.0,2753.08,1104.84,1696.806,3018.655,1893.308,2041.5,1452.55,1238.294,1574.0,2387.056,2519.559,2305.846,5868.231,1592.96,2896.833,1798.778,2875.412,1440.727,3059.778,1940.875,2178.474,1413.2,1722.438,3476.575,1407.769,1574.289,1855.781,1847.091,1643.149,1027.879,613.368,583.417,736.75,388.593,621.083,621.971,1017.69,353.304,1011.276,1110.152,773.333,1180.474,337.542,405.105,529.2,416.5,805.583,1755.476,780.296,1179.719,1415.514,2050.484,1980.583,461.583,708.632,737.419,1251.25,1839.375,1718.455,1270.737,2372.633,1646.643,1312.269,2016.583,538.148,608.314,1524.429,1517.484,2638.364,1810.021,908.739,999.629,706.278,1043.689,380.067,377.0,946.069,374.172,901.273,411.37,437.286,650.217,612.778,764.037,1258.19,1208.795,810.826,714.5,865.8,584.96,1237.34,1201.519,539.821,1199.918,2089.826,2667.0,3113.786,2568.879,1877.333,696.286,878.915,368.37,654.423,834.0,593.8,2593.024,1403.321,470.333,1874.304,2293.174,1146.526,858.722,1435.95,889.1,3536.357,1591.758,3107.081,1259.154,959.267,1353.241,1843.857,835.281,718.75,652.043,539.8,598.788,1244.5,1376.25,2016.65,1140.76,799.276,1287.043,1821.71,1815.077,832.909,693.885,1390.061,1275.227,702.074,1673.179,1441.552,886.92,1528.025,831.556,1070.472,1437.409,1870.333,619.483,919.19,894.955,1229.68
1074.0,2129.882,2218.428,1592.083,2216.316,2655.333,944.048,1376.676,2136.292,750.364,971.818,2299.7,2016.267,2844.5,2378.0,3631.846,1347.0,1858.933,1473.143,2567.105,3531.421,505.421,1227.579,1111.737,2809.72,1121.04,1655.935,3024.241,1951.308,2039.375,1360.75,1402.882,1722.125,2320.889,2594.441,2241.769,5901.385,1497.88,2995.625,1763.889,2821.823,1388.273,3146.222,1952.55,2186.053,1348.35,1655.469,3446.0,1406.154,1530.867,1890.938,1955.606,1563.298,1051.534,638.789,517.417,711.562,360.074,678.688,618.441,1069.034,348.261,1043.0,1163.174,679.2,1206.342,344.417,357.842,541.933,443.091,738.0,1692.444,740.926,1141.25,1491.286,2068.548,1921.292,436.458,737.789,707.465,1297.55,1693.667,1536.182,1316.316,2419.533,1637.5,1222.462,2092.083,654.963,660.4,1495.429,1476.677,2614.091,1761.583,819.609,955.629,693.944,1127.311,314.267,449.727,952.414,355.69,938.0,373.444,452.667,627.0,563.778,727.148,1308.214,1188.795,805.478,640.731,862.12,596.64,1275.681,1035.333,505.179,1233.673,2004.043,2528.194,3109.822,2478.727,1904.758,730.0,859.617,393.704,660.731,819.567,544.48,2597.119,1338.321,540.667,1903.957,2291.391,1095.053,825.278,1341.35,857.3,3483.286,1503.303,3038.838,1307.154,864.133,1402.207,1790.971,866.812,671.667,620.304,536.067,597.909,1231.318,1402.156,1935.05,1168.96,766.448,1329.913,1833.581,1910.577,767.136,647.846,1405.576,1265.773,696.111,1528.107,1445.379,936.88,1505.95,822.593,1106.111,1422.045,1825.583,577.793,818.381,889.727,1233.08
