,fly_1,fly_2,fly_3
0,678.406,1859.314,89.742
1,709.645,2242.446,93.203
2,696.735,2392.942,89.289
3,731.181,2387.901,89.898
4,757.458,1787.281,88.078
5,698.439,2339.008,89.469
6,695.426,2323.421,83.453
7,680.645,2074.099,85.75
8,722.09,2378.785,79.891
9,748.006,1939.975,85.586
10,878.781,2352.95,83.867
11,679.123,1863.752,87.258
12,725.574,2287.05,83.219
13,762.071,1766.025,79.547
14,726.542,2297.62,84.523
15,733.774,1712.752,84.656
16,725.052,2284.182,88.375
17,756.271,1672.595,87.148
18,734.219,1823.521,89.75
19,712.394,1289.141,90.898
20,698.123,1958.736,90.672
21,754.832,1796.578,88.836
22,730.355,2161.471,85.992
23,730.097,2056.107,87.922
24,847.342,2134.942,87.25
25,665.303,2195.868,85.891
26,775.755,1700.033,88.938
27,731.516,2275.95,92.57
28,761.677,1933.967,89.164
29,713.052,2185.579,90.68
30,753.981,2309.008,91.172
31,803.006,2163.76,96.305
32,844.277,2860.603,94.383
33,868.265,2847.702,97.062
34,878.748,2207.645,98.32
35,905.877,2883.653,102.297
36,884.426,2688.752,104.5
37,859.581,2477.479,105.594
38,839.903,2939.992,103.031
39,839.729,2538.901,101.211
40,814.813,2488.802,102.555
41,906.413,2666.793,101.172
42,961.806,2052.14,97.672
43,900.116,2782.57,96.656
44,860.129,2773.174,103.836
45,954.768,2142.438,100.969
46,908.858,2975.876,100.875
47,899.852,2670.711,99.406
48,928.916,2970.43,100.148
49,989.935,3000.95,101.938
50,981.148,2435.752,100.539
51,1002.245,3052.719,95.219
52,1019.019,2868.496,97.93
53,981.432,2759.95,99.336
54,1035.329,3037.008,96.734
55,1051.787,2744.554,97.219
56,1037.245,3136.091,92.133
57,946.735,3030.835,97.656
58,923.613,2439.413,89.07
59,858.426,3167.711,93.25
60,887.91,3055.843,93.414
61,820.09,2419.612,92.414
62,859.587,2849.025,88.414
63,843.987,2719.554,71.188
64,843.484,2525.264,84.133
65,850.594,2667.322,86.75
66,812.232,2306.942,79.695
67,776.587,2326.851,76.188
68,846.839,2357.554,80.891
69,798.645,1813.314,81.336
70,801.806,2191.198,81.883
71,834.684,2373.256,86.5
72,733.277,2316.207,84.703
73,786.045,2114.421,91.023
74,790.439,2442.24,90.672
75,786.019,2437.099,90.102
76,750.374,1820.545,91.359
77,755.477,2365.149,91.32
78,792.606,2428.405,90.562
79,666.735,1947.016,90.234
80,779.703,2423.198,91.641
81,773.239,2530.099,86.18
82,761.129,2008.694,88.484
83,761.987,2410.008,90.336
84,709.374,2486.851,90.211
85,800.503,1895.934,93.18
86,674.871,2406.57,93.133
87,730.219,2470.198,90.734
88,838.858,1996.826,92.602
89,678.542,2494.314,88.438
90,742.523,2494.24,91.273
91,692.819,2167.364,96.469
92,790.155,2702.174,99.031
93,814.542,2964.149,97.383
94,772.181,2922.736,99.492
95,857.194,2407.273,103.719
96,807.226,2923.769,99.055
97,872.606,2973.934,100.711
98,806.219,2809.835,99.984
99,776.645,2841.967,104.828
100,870.781,3080.074,102.031
101,864.342,3080.934,100.18
102,905.884,2157.843,100.391
103,915.406,2502.074,106.75
104,826.71,2797.438,103.242
105,793.91,2926.132,104.555
106,869.019,2430.405,103.594
107,815.31,2941.413,98.695
108,849.819,2979.86,99.617
109,849.361,3057.058,100.422
110,825.606,2570.14,97.844
111,972.2,2957.769,94.734
112,976.31,3030.124,90.422
113,992.561,2238.471,90.047
114,959.097,2538.05,95.555
115,831.858,2952.355,93.258
116,865.387,2700.826,94.336
117,894.09,3075.628,96.57
118,1053.174,3251.198,99.078
119,915.755,3206.496,95.227
120,930.697,3079.884,99.969
121,992.948,3020.24,95.375
122,658.968,2594.397,93.711
123,761.265,2817.339,90.773
124,847.716,2775.157,92.141
125,865.69,2306.223,91.812
126,834.232,2592.066,88.711
127,713.187,2073.661,84.102
128,788.8,2564.231,87.977
129,792.329,2552.694,90.586
130,704.716,2394.884,92.648
131,721.619,2453.595,89.547
132,739.058,1882.149,79.586
133,726.084,2457.248,87.734
134,761.548,2085.306,89.445
135,752.606,1718.967,90.617
136,737.684,2218.405,78.414
137,783.529,2002.62,82.477
138,670.981,2010.504,92.172
139,744.484,2272.992,90.781
140,604.49,1772.19,90.352
141,631.174,2251.438,80.484
142,732.31,2308.256,85.695
143,729.316,2083.372,92.016
144,726.045,2205.926,91.922
145,731.252,2111.579,86.016
146,716.523,2069.306,86.445
147,632.213,2251.388,82.867
148,717.639,1707.347,89.109
149,721.419,2277.397,86.977
150,734.729,2415.835,95.172
151,760.039,2506.909,105.023
152,725.819,2884.802,95.719
153,739.845,2220.702,100.617
154,797.174,2673.942,100.359
155,793.432,2791.752,101.617
156,783.336,2481.248,108.789
157,771.226,2847.595,99.023
158,781.871,2960.661,102.109
159,850.323,2524.231,105.602
160,898.71,2957.033,103.586
161,894.226,3019.38,102.789
162,800.497,2538.926,99.102
163,883.839,3044.471,102.188
164,826.826,2765.124,98.297
165,756.761,2484.653,111.914
166,807.877,2642.678,101.422
167,883.781,3043.455,108.094
168,893.884,3057.298,106.633
169,803.342,2491.76,104.258
170,855.413,2983.058,106.922
171,964.477,2987.512,104.531
172,864.413,3063.446,102.945
173,894.645,2783.579,96.812
174,924.11,3070.835,104.141
175,873.406,3117.149,108.047
176,904.052,3092.058,102.352
177,909.342,2576.595,96.953
178,981.839,3094.76,99.789
179,823.245,3227.455,96.438
180,981.187,2950.058,101.445
181,946.123,2633.727,94.016
182,876.606,2858.43,95.109
183,815.645,2790.347,91.047
184,841.097,2779.736,87.617
185,831.994,2346.157,88.977
186,880.555,2541.215,91.039
187,703.497,2616.405,84.203
188,736.329,2691.207,89.141
189,751.955,2352.603,76.141
190,779.839,2476.033,84.172
191,821.548,2630.554,88.211
192,832.348,2615.603,80.82
193,768.4,2455.752,83.039
194,808.658,2162.149,81.883
195,803.497,2111.463,79.531
196,794.084,2546.289,76.984
197,784.761,2565.711,79.133
198,707.406,2557.083,80.492
199,733.632,2248.083,79.188
200,710.135,2193.19,79.875
201,740.071,2518.992,79.156
202,709.826,2636.917,83.492
203,739.955,2590.496,77.586
204,690.645,2386.537,82.164
205,690.826,2320.983,79.562
